CustomerID, Timestamp, TransactionAmount, StoreId
1, 1705442400000, 25.74, 1
2, 1705442400000, 16.05, 1
3, 1705442400002, 52.48, 1
4, 1705442400003, 765.10, 1
5, 1705442400004, 35.91, 1
6, 1705442400005, 267.82, 1
7, 1705442400006, 21.33, 1
8, 1705442400007, 56.97, 1
9, 1705442400008, 143.21, 1
1, 1705442400009, 93.91, 1
2, 1705442400010, 6.67, 1
3, 1705442400011, 7.79, 3
4, 1705442400012, 0.74, 1
5, 1705442400013, 1999.00, 5
6, 1705442400014, 0.00, 1
7, 1705442400015, 0.01, 1
8, 1705442400016, 3.33, 1
1, 1705442400017, 9.95, 2
1, 1705442400018, 5.05, 2
1, 1705442400019, 25.74, 3
